前大,['前大']
有条不紊,"['systematically', 'in an orderly way', 'apple-pie order']"
环境署,['环境署']
四万,['四万']
六千个,['六千个']
防黄,['防黄']
龃龉,"['disagreement', 'discord', 'the upper and lower teeth not meeting properly']"
敦睦,['promote friendly relations']
英足,['英足']
贴近生活,['close to life']
外院,['outer court']
真神,['真神']
汪光焘,['汪光焘']
水压机,"['hydropress', 'hydraulic press', 'water press', 'hydraulic oil press']"
药瘾,"['drug dependence', 'drug habit', 'drug addiction']"
最多生,['最多生']
两胎,['两胎']
将点,['将点']
面注记,['面注记']
摆置,"['place', 'put', 'locate']"
以利,['以利']
尔后,"['thereafter', 'subsequently']"
注记,"['annotation', 'note']"
积集,['积集']
拟类,['拟类']
变分,['variation']
草稿纸,['scratch paper']
程序代码,['procedure code']
时库,['时库']
草拟,"['draft', 'roughhew', 'draw up', 'rough in']"
管理性,['manageability']
司法独立,"['independence of judicature', 'judicial independence']"
陪审,"['act as an assessor', 'serve as an assessor', 'serve on a jury']"
特区,"['special zone', 'special administrative region', 'special area']"
一比,['一比']
课外阅读,"['extracurricular reading', 'outside reading']"
悲叹,"['lament', 'sigh (over)', 'sigh mournfully']"
供职,['hold office']
回首,"[""turn one's head"", 'turn round']"
田刚,['田刚']
年轻有为,['young and promising']
个人爱好,"['personal preference', 'personal hobbies', 'personal tastes']"
汤显祖,['Tang Xianzu（人名）']
原作,"['original', 'original work(s)']"
林肯中心,['林肯中心']
陈士,['陈士']
导,"['lead', 'guide', 'conduct', 'transmit', 'instruct']"
全本,"['complete edition', 'unabridged version']"
纷繁,['numerous and complicated']
极备,['极备']
可控,"['controlled', 'steerable']"
棉田,['cotton field']
春假,"['spring vacation', 'spring holidays']"
绿树成荫,"['The trees make a pleasant shade.', 'Trees shade the street.']"
户籍,['census register']
色浆,['mill base']
浓缩机,"['thickener', 'thickner']"
濒海,['along the coast']
战斗舰,['战斗舰']
浦西,['Puxi（上海黄浦江以西的市区）']
片区,"['district', 'area']"
南浦大桥,['南浦大桥']
皮肉,['skin and flesh']
施展,['put to good use']
杜瓦尔,"['Duvall', 'Duval']"
想像到,['想像到']
拉皮条,"['pander', 'act as a procurer', 'act as a pimp']"
混混,"['dark', 'opaque', 'blackened', 'blurred']"
半波,"['half-wave', 'semiwave']"
享誉,"['enjoy good fame', 'enjoy great prestige', 'be renowned']"
食用量,['食用量']
明眸,"['clear and shining eyes', 'bright eyes']"
肇事罪,['肇事罪']
江主席,['江主席']
富有成果,['fructify']
白瞳,['leukocoria']
内瓦,['Neiva']
多德,['Daud']
鲁伊斯,"['Ruis', 'Rouis', 'Ruiz']"
波哥大,['Bogota （哥伦比亚首都）']
安德列,['安德列']
雪铁龙,['Citroen']
用人,"['servant', 'choose a person for a job', 'need hands']"
音圈,"['voice coil', 'loudspeaker voice coil', 'speech coil']"
展铺,['展铺']
姜夔,['姜夔']
词题,['词题']
品格,"[""one's character and morals""]"
西门子,"['Siemens', 'Werner von Siemens', 'Ingenuity for life']"
铺粉,['铺粉']
江永,['江永']
北京日报,['Beijing Daily']
离婚案,['离婚案']
大起大落,"['change radically', 'marked ups and downs', 'big rise and fall']"
抗冻蛋白,['antifreeze protein']
重结晶,"['recrystallization', 'recrystal']"
指令表,"['repertoire', 'instruction list', 'instruction repertoire']"
解释程序,"['interpretive program', 'interpretive routine']"
致畸,['teratogenesis']
无政府主义,['anarchism']
愿来,['愿来']
寄希望于,"[""pin one's hope on"", ""anchor one's hope on"", ""pin one's hopes on""]"
废奴,['abolitionism']
威望,['prestige']
蓬勃发展,"['flourish', 'explosion', 'booming']"
吹灰之力,"['as easy as blowing away the dust', 'just a small effort', 'the effort needed to blow away a speck of dust']"
马克辛,['马克辛']
您好,"['shalom', 'howdy']"
燕化,['燕化']
木地板,"['wood floor', 'timber floor', 'simple boarded floor', 'wood parquet tile']"
简化版,"['abbreviated version', 'simplified version']"
树结构,['tree structure']
超速离心,['ultracentrifugation']
此参数,['此参数']
«,['«']
安提瓜和巴布达,['Antigua and Barbuda']
斯潘塞,['spencer']
副外长,['副外长']
周文重,['周文重']
利欲,['利欲']
虽喜,['虽喜']
离家出走,['run away from home']
广播剧,"['radio play', 'radio drama']"
良导体,['good conductor']
必因,['必因']
私欲,['selfish desire']
地使,['地使']
迷误,['迷误']
李约瑟,"['Joseph Terence Montgomery Needham', 'Joseph Needham']"
要花,['要花']
难怪,['no wonder']
梗阻性,['obstructive']
古树,"['ancient trees', 'old trees']"
芜湖,['Wuhu']
开埠,"['port opening', 'opening as a commercial port']"
通商,"['have trade relations', 'commercial intercourse']"
芜,['overgrown with weeds']
传教,"['do missionary work', ""preach one's religion""]"
多座,['多座']
楼阁,['pavilion']
洗脚水,['water for washing feet']
国际货币基金,['IMF (International Monetary Fund)']
坚挺,"['strong', 'firm']"
通货紧缩,['deflation']
二零零五年,['二零零五年']
时整,['时整']
无数道,['无数道']
死光,['death ray']
金光,['golden light']
强顶,['强顶']
运动竞赛,['athleticism']
高纯,['high-purity']
碳酸钡,['barium carbonate']
西里尔,['Cyril']
费根,"['Feigen', 'Fegan', 'Fagan']"
蒙面,['蒙面']
封住,"['seal', 'seal up']"
券书中,['券书中']
屡见,['屡见']
田家,['田家']
所佃,['所佃']
之田,['之田']
常限,['normal limit']
蛮高,['蛮高']
腼腆,"['shy', 'bashful']"
好使,"['be convenient to use', 'work well']"
大主,['大主']
王孙,"[""prince's descendants""]"
双缸,['double-cylinder']
转危为安,"['turn the corner', 'save the day', 'take a turn to be out of danger']"
迫降,"['forced landing', 'crash land', 'distress landing']"
上例,['上例']
应用逻辑,['applied logic']
渐劲,['渐劲']
相异,"['diversity', 'alien']"
弄乱,"['clutter', 'litter', 'disarrange', 'tousle', 'tumble']"
作料,"['condiments', 'seasoning']"
雅各布森,['Jakobson']
心算,"['mental arithmetic', ""doing sums in one's head""]"
助记符,"['mnemonic', 'mnemonic symbol']"
李查,['李查']
皮尔森,['Pearson']
人骨,['人骨']
莫西,"['Mossi', 'Mosey']"
公平竞争,['fair competition']
返现,"['return money', 'return cash']"
带去,"['entrainment', 'take', 'carry to another place']"
试验品,"['experimental article', 'trial target']"
修正主义,['revisionism']
白种,['the white race']
嬉皮士,"['hippy', 'hippie']"
群网织,['群网织']
百分率,"['percentage', 'centage', 'percentages', 'per cent']"
参考值,['reference value']
薄中列,['薄中列']
涉水过河,"['cross a river by wading', 'wade across a river', 'splash through the stream', 'ford a river']"
妙策,"['excellent plan', 'brilliant scheme']"
齿座,['toothholder']
开焊,"['break', 'snap']"
冷裂,"['cold crack', 'cooling crack']"
予防,['予防']
活度,['activity']
三元,['ternary']
物系,['物系']
控制软件,['control software']
步长,"['step size', 'step length', 'step width']"
功能模块,"['function module', 'functional module']"
离子载体,['ion carrier']
髓系,['medullary system']
北纬,['northern latitude']
东经,['east longitude']
小笠,['小笠']
父岛,['父岛']
冷器,['冷器']
喘振,['surge']
四川盆地,"['Sichuan Basin', 'Szechwan Basin']"
石炭系,['carboniferous system']
度数,['number of degrees']
毁誉,"['praise or blame', 'praise or condemnation']"
在所不计,['irrespective of']
李泽厚,['李泽厚']
萃淋,['萃淋']
锗,['germanium (Ge)']
深入骨髓,['Down to the Bone（电影）']
国际交流,"['international exchange', 'international communication']"
流涎,"['drooling', 'salivation', 'drivel', 'salivate']"
高速化,['high speed']
精密化,['精密化']
西奈半岛,['Sinai']
栅板,['grid tray']
除沫器,['demister']
安猪,['安猪']
整晚,['all night long']
妙处,"['the best of it', 'the beauty of it']"
抗皱,"['anti-wrinkle', 'crease resistant']"
霜,"['cream', 'hoarfrost', 'rime', 'frost']"
冬令,"['winter', 'winter climate']"
进补,"['nourish', 'eat tonic food']"
哈姆雷特,['hamlet']
认贼作父,"[""clasp an enemy to one's bosom"", 'adopt a gangster for a father']"
皇位,['throne']
莫里,['Moree']
操,"['grasp', 'exercise', 'hold', 'operate']"
高斯定理,['Gauss theorem']
外部性,"['externalities', 'externality']"
容格,"['Junge', 'Junger']"
深情款款,['深情款款']
次官,['undersecretary']
实权,['real power']
身居,['身居']
此位,['此位']
党纪,['party discipline']
助辩,['助辩']
父为母,['父为母']
指导老师,['adviser']
热轧,['hot rolling']
掉皮,['scaling']
脆性断裂,"['brittle rupture', 'brittle fracture']"
鲍嘉在,['鲍嘉在']
休斯顿,['Houston']
参战,"['go to war', 'join battle', 'ettend a war', 'attend a war', 'go to the front']"
复刻,['复刻']
脱妆,['makeup meltdown']
妆效,['妆效']
不断加强,['from strength to strength']
党建,"['party building', 'party construction']"
甩脱,['甩脱']
小流氓,['punk']
警,"['police', 'alarm', 'vigilant', 'warn', 'alert']"
东麓,['东麓']
霞多丽干,['霞多丽干']
主模式,['holotype （标本）']
屈膝,"['give in', 'succumb', ""bend one's knees"", ""go down on one's knees"", 'knuckle down']"
低头,"[""lower one's head""]"
含胸,['含胸']
弓背,"[""arch one's back""]"
团身,['tucked']
林佳,['林佳']
搭理,"['respond', 'answer', ""acknowledge (sb.'s greetings, etc.)""]"
赵璇,['赵璇']
熬汤,"['make soup', 'braise soup']"
烫伤,"['empyrosis', 'scald']"
手后,['手后']
几口,['几口']
最小值,"['least value', 'minimum value']"
超级链接,['hyperlink']
听闻,['hearing']
和平奖,['和平奖']
和事佬,"['peacemaker', 'fence-straddler', 'peacemarker', 'peace-maker']"
重文,['variant Chinese character']
匮乏,"['pinch', 'deficient', 'short of', 'went short of']"
之虞,['之虞']
鼓起勇气,"['take heart of grace', 'nerve oneself', 'pluck up', 'get up the courage']"
清华,['Tsinghua']
南多,['Nando']
苏曼曼,['苏曼曼']
教田宏,['教田宏']
宠物犬,['pet dog']
舱房,['cabin']
钢蓝,['钢蓝']
甲状旁腺,"[""Gley's glands""]"
降钙素,"['calcitonin', 'calcitar']"
定论,"['final conclusion', 'final verdict']"
求同存异,['seek common points while reserving difference']
财政部,"['treasury', 'exchequer', 'ministry of finance', 'treasury department']"
梅洛,['mello']
天鹅绒,"['velvet', 'velour']"
韶关,['Shaoguan City（地名）']
中维汉,['中维汉']
复眼,"['ommateum', 'compound eye']"
评改,['评改']
六神丸,"['Liu Shen Wan', 'miraculous pills of six ingredients']"
束状,"['fasciculation', 'sarciniform']"
群敌,['群敌']
环伺,['环伺']
新加坡政府,['Singapore Government']
一站式,['one-stop']
护肤,"['skin care', 'skin protection']"
精心设计,"['well-designed', 'meticulous design']"
斯奎布,['Squibb']
宝地,['treasured place']
防护区,['protective zone']
两面,"['two sides', 'both sides', 'two aspects']"
染着,['染着']
涂着,['涂着']
光到,['光到']
深浓,['深浓']
发行价,"['issue price', 'offering price']"
配售,['ration']
筹资额,['amount of fund raised']
例因,['例因']
圣树,['palo santo']
洪鲁西,['洪鲁西']
测斜,['survey']
仪是,['仪是']
井身,['well bore']
花好,['花好']
水好,['水好']
试图用,['试图用']
协同学,['synergetics']
而利反,['而利反']
抢过,"['snatch', 'rob', 'grab']"
风头,"['the way the wind blows', 'the trend of events (as affecting a person)']"
中心思想,"['clou', 'main idea', 'central theme']"
浪搏,['浪搏']
莎蕾,['莎蕾']
洋纱,['洋纱']
大缝,['大缝']
补一补,['补一补']
终因,['终因']
寡不敌众,"['be outnumbered', 'be hopelessly outnumbered']"
李世民,['Li Shimin']
舒芸,['舒芸']
跌入,"['fall into', 'drop into']"
天壤之别,"['a world of difference', 'poles apart', 'an immeasurably vast difference']"
默默地,"['silently', 'quietly', 'dumbly', 'stilly', 'in silence']"
白头偕老,['live to old age in conjugal bliss']
美满,"['happy', 'perfectly satisfactory']"
曼纳斯,['Manners']
阿萨姆,['assam']
穴居人,"['caveman', 'troglodyte', 'cave dweller']"
读后感,['reaction to a book or an article']
上交,['hand in']
思隆,['思隆']
轻轨,"['metro', 'light rail']"
折转,"['replication', 'reflex', 'replicate', 'turn back']"
铸铜,['cast copper']
包铝,['alclad']
刷刷,['刷刷']
艾斯能,['艾斯能']
克雷格,['craig']
内斯,"['Noess', 'Naes', 'Nez', 'Gness', 'Nes', 'Nees']"
对点,['counter point']
飞牌,['飞牌']
已损坏,"['destroyed', 'damaged']"
项目前期,['earlier stage of project']
当木,['当木']
霉菌,"['mycete', 'mould', 'mucedine']"
共生体,['symbiont']
当费克图,['当费克图']
唐尼,"['Downie', 'Downey', 'Donney', 'Donnie']"
亲和力,"['appetency', 'affinity']"
博乐,['博乐']
生油层,['source bed']
生油,"['unboiled oil', 'peanut oil', 'occurrence of oil']"
二叠,['二叠']
岩和下,['岩和下']
侏罗,['侏罗']
微尘,"['mote', 'particulate', 'allout']"
天地间,['cislunar']
县里,['县里']
派来,['派来']
扫雪,"['stoat', 'sweep the snow', 'snow cleaning']"
机在,['机在']
北师大,['Beijing Normal University']
实验学校,['experimental school']
英语课,['English class']
上下级,['superior and subordinate']
凯撒,['gaius julius caesar']
盛泽,['盛泽']
让价,['concessional rate']
己经,['already']
网关,['gateway']
并不比,['并不比']
平常人,['a man of common clay']
非晶态,['amorphous state']
存储设备,"['storage device', 'memory device']"
跳板,"['springboard', 'gangplank', 'diving board', 'gang board']"
数及,['数及']
郁闭度,['canopy density']
海拔高度,"['altitude', 'height above sea level']"
联结,"['jointing', 'anastomosis', 'bind', 'tie', 'join']"
紧固件,"['fastener', 'fastening']"
内瓤,['内瓤']
赎回,"['redemption', 'atonement', 'redeem', 'ransom']"
家居用品,['household supplies']
路易,['Louis']
国际金融,"['international finance', 'foreign money']"
荆,"['vitex', 'chaste tree', 'a rod for flogging', ""one's own wife"", 'a surname']"
思想道德,['ideology and morality']
对富,['对富']
酱腌菜,['pickle']
灌输式,['灌输式']
吊舱,"['pod', 'nacelle', 'bird', 'car']"
心胸,"['ambition', 'aspiration', 'breadth of mind']"
海湾地区,"['bay area', 'gulf area']"
精子发生,['spermatogenesis']
辛特兰,['辛特兰']
望海,['望海']
崖,"['cliff', 'precipice', 'limit', 'margin']"
墓地,"['cemetery', 'graveyard']"
没落,"['decline', 'sinking', 'wane']"
大嘴巴,['big mouth']
以防不测,"['provide against any misfortune', 'be ready against the evil day', 'be provided against accidents']"
泽普,['Sepp']
讲堂,"['classroom', 'lecture room']"
笨拙,"['stupid', 'clumsy']"
历届,"['all previous (sessions, governments, etc.)']"
阻遏,"['repression', 'stem', 'check', 'baffling', 'stop']"
基本要领,['基本要领']
困难重重,"['be beset with difficulties', 'in a fix', 'in deep water(s)']"
美林,['MER(Merrill Lynch)']
乱了套,['乱了套']
时少用,['时少用']
鼠诺沃克,['鼠诺沃克']
律度,['律度']
枯萎病,"['blight', 'wilt']"
兼抗,['兼抗']
炭疽病,['anthracnose']
奥古斯都,['augustus']
温特斯,['Winters']
天气情况,['weather situation']
党校,['Party school']
函授,['teach by correspondence']
亚柏,['亚柏']
心力,['mental and physical efforts']
氟碳,['fluosol see perfluorocarbon']
处理剂,['treating agent']
或少,['或少']
勤,"['attendance', 'diligent', 'industrious', 'frequent', 'frequently']"
不索何,['不索何']
张衡,['zhang heng']
卡尔曼滤波,['Kalman filtering']
亮斑,['hot spot']
车灯,['automative lighting']
暴饮暴食,"['eat and drink too much', 'be crapulent']"
胃肠炎,['gastroenteritis']
怪石,['fantastic rock peaks']
沙洲,"['shoal', 'alluvion', 'sandbank', 'cay', 'towhead']"
克雷森,['克雷森']
特组,['特组']
里特,"['Riedt', 'Ritter', 'Riet', 'Ritte', 'Rieth', 'Riether', 'Rite']"
致因,"['causation', 'reason']"
组织名义,['组织名义']
电子签名,"['electronic signature', 'e-signature']"
缘于,['缘于']
记过,['record a demerit']
膜法,"['membrane method', 'membrane process']"
风洞,['wind tunnel']
边界层,"['boundary layer', 'bounding layer']"
铲除,"['eradicate', 'uproot', 'root out', 'wipe out']"
坟上,['坟上']
坟,"['grave', 'tomb']"
昵,"['close', 'intimate']"
许飞,['Xu Fei（人名）']
翻开,"['open', 'turn over']"
姻缘,"['marriage', 'the happy fate which brings lovers together']"
落泪,"['weep', 'shed tears']"
蓄脓,['蓄脓']
形格数,['形格数']
保持一致,"['bring into correspondence with', 'stay the same']"
昆虫学,"['entomology', 'insectology', 'bugology']"
盟会,['盟会']
失陪,"['Excuse me, but I must be leaving now.', 'Excuse my absence.', 'Excuse me for my absence.']"
阴天,"['overcast sky', 'cloudy sky']"
饥难,['饥难']
周友,['周友']
狡诈,"['cunning', 'deceitful', 'crafty']"
麦哲,['麦哲']
无私,"['selflessness', 'selfless', 'unselfish', 'disinterested', 'self-forgetful']"
一想,['一想']
彼尔,"['Pier', 'Piel']"
投标书,"['tender', 'bidding documents']"
固定价格,"['regular price', 'fixed price']"
奥美,['Ogilvy & Mather']
迫害,['persecution']
会展,['convention and exhibition']
球击入,['球击入']
顺手,"['smoothly', 'without difficulty']"
私有,['privately-owned']
心愿,"['wish', 'aspiration']"
此际,"['meantime', 'hereat', 'meanwhile']"
红果,"['haw', 'the fruit of large Chinese hawthorn']"
叶莎莎,['叶莎莎']
超高速,"['superspeed', 'hypervelocity', 'ultra high-speed', 'superhigh velocity']"
威权,['威权']
两极分化,"['polarization', 'polarize']"
制造厂商,['manufacturer']
打劫,"['loot', 'plunder', 'rob']"
被劫,"['be robbed', 'be kidnapped']"
店主,"['shopkeeper', 'storekeeper']"
射杀,"['shoot off', 'take a shot at']"
性休克,['性休克']
抗休克,['antishock']
榛属,['Corylus']
附睾,"['epididymis', 'parastata', 'parorchis']"
那幅,['那幅']
饭卡,['饭卡']
餐补,"['meal subsidy', 'meal supplement', 'meal allowance']"
泰雅族,['泰雅族']
乐风,"['Lova', 'music style']"
乌来,['乌来']
土著居民,['aboriginal']
悠久,"['long', 'long-standing', 'age-old']"
国税局,"['IRS(Internal Revenue Service)', 'National Tax Bureau', 'IRC(Internal Revenue Commission)']"
免疫荧光,"['immunofluorescence', 'IF']"
防晒,"['sunscreen', 'sun block']"
订婚戒指,['engagement ring']
让术,['让术']
外耳道,"['external auditory canal', 'meatus acusticus externus']"
中耳,"['middle ear', 'auris media', 'tympan-', 'tympano-']"
化和期,['化和期']
接收缓冲区,['接收缓冲区']
汉代,['Han Dynasty']
纹样,['dermatoglyphic pattern']
刑法,"['penal code', 'penal law', 'criminal law']"
保障人权,['assurance of human rights']
手抄报,['radio message reception by hand']
执迷不悟,"['obsessive', ""refuse to come to one's senses""]"
翻来覆去,"['toss and turn', 'toss about']"
寄魂,['寄魂']
伏地,"['prostrate', 'prostrate on the ground']"
附体,['appendage']
幽闭,"['put under house arrest', 'confine oneself indoors']"
田宏,['田宏']
软件包,['software package']
棕树,['palm']
上到,['上到']
鼻烟,['snuff']
中所,['中所']
日用化工,['daily-use chemical industry']
女童,['girl']
成熟度,"['maturity', 'ripeness', 'grade of maturity']"
磁力泵,"['magnetic drive pump', 'magnetism forle pumps']"
白热化,"['turn white-hot', 'fervorization']"
韩寒,['Han Han（人名）']
入围,['enter or be selected for the next round of competition']
夏甲,['Hagar']
兰生,['兰生']
兰给,['兰给']
所生,"['mothered by', 'out of']"
起名叫,['起名叫']
以实,['以实']
铁片,"['metal plate', 'sheet iron', 'bracket']"
稿,"['straw', 'draft', 'sketch', 'manuscript', 'original text']"
裁减,"['cut down', 'reduce']"
狂犬病毒,"['street virus', 'rabies virus']"
攻,"['attack', 'study', 'accuse', 'to study', 'to accuse']"
处作,['处作']
导轮,"['foreword', 'preface', 'guide wheel', 'idler pulley', 'guide roller']"
变矩器,['torque converter']
铲运机,"['scooptram', 'carry-scraper']"
如用,['如用']
擦洗,"['scrub', 'scrubbing', 'rinse']"
平底锅,"['pan', 'saucepan']"
除臭,['deodorization']
利巴韦,['利巴韦']
守殿,['守殿']
清蜡剂,['paraffin remover']
苯加量,['苯加量']
下同,"['similarly hereinafter', 'the same below']"
剂加量,['剂加量']
互溶剂,['mutual solvent']
加量,['dosage']
现代人,"['modern', 'modernist', 'neoteric']"
人即,['人即']
各领风骚,['各领风骚']
英镑,"['pound', 'pound sterling', 'sterling', 'English pound']"
退避三舍,['retreat to avoid a conflict']
横膈,"['diaphragm', 'septum transversum']"
动度,['mobility']
表露出,['表露出']
神情,"['expression', 'look']"
水一滚,['水一滚']
单打,['singles']
大满贯,"['vole', 'grand slam']"
于小波,['于小波']
评头论足,"['find fault with', 'be overcritical', 'comment from head to feet', 'criticize from head to feet']"
分组讨论,"['group discussion', 'panel discussion']"
对维康,['对维康']
记录簿,"['register', 'record book', 'book of records']"
超链接,['hyperlink']
令人厌恶,"['disgust', 'nuisance', 'offensive']"
显摆,['show off']
梭哈,"['five card stud', 'show-hand']"
提摩内,['提摩内']
水产业,['aquaculture']
动来动去,['move about']
烦死,['be bored to death']
动车组,['D-series high-speed train']
车票,"['ticket', 'fare']"
终点站,"['destination', 'terminus']"
以远,['beyond']
下半叶,['下半叶']
室内装潢,['upholstery']
义大利,['义大利']
难象,['难象']
传统意义,['traditional significance']
别克,['buick']
比其,['比其']
移走,"['take away', 'move away']"
隔板,"['clapboard', 'cross wall', 'septum', 'dummy plate']"
加尔文,['Calvin']
把它买,['把它买']
皮尔,"['Pear', 'Pil', 'Pull', 'Peal', 'Peale', 'Puer', 'Peer', 'Pir', 'Peelle', 'Puhl', 'Phil', 'Pill', 'Pier', 'Peel', 'Piel', 'Peele']"
格林格,['格林格']
里菲思,['里菲思']
西索加,['西索加']
康,"['health', 'well-being', 'broad', 'a surname']"
威尔特,['Wilt']
莱瓦,"['Leiva', 'Leva', 'Leyba', 'Lewa']"
着陆时,['着陆时']
冲出,['rush out']
升程表,['升程表']
轮廓线,['contour line']
欧帝芬,['欧帝芬']
第二篇,['第二篇']
并行程序,"['concurrent program', 'parallel program']"
开发工具,"['development tool', 'developer kits']"
如火如荼,"['like a raging fire', 'growing vigorously']"
各个方面,"['all aspects of', 'various aspects']"
明早,['tomorrow morning']
萨莉,['Sallie']
真地,['veritably']
襦,['a short jacket']
长年累月,"['year in year out', 'Months and years pass by.', 'all the year round', 'year after year', 'over the years']"
岩洞,"['grotto', 'abra', 'abri']"
叫好,"['applause', 'applaud', 'shout “Bravo!”', 'shout “Well done!”']"
神经错乱,"[""blow one's top"", ""take leave of one's senses"", 'beside oneself', 'mental disorder']"
法律纠纷,['legal dispute']
以供,['for']
变平,"['level', 'flatten', 'level off', 'make planar']"
外立面,"['external wall', 'external facade']"
自卡,['自卡']
洛林,['Lorraine']
恰尔,['恰尔']
肯德,"['Kender', 'Kende']"
哈扎,"['Harza', 'Haza']"
属人,['属人']
属地,"['possession', 'dependency', 'colony', 'annexed territory']"
好下场,['good end']
北京奥运,['Beijing Olympics']
爱国热情,['patriotic enthusiasm']
烧掉,"['burn-up', 'burn up', 'burn off', 'burn out', 'burn away']"
垃圾场,['wasteyard']
艾伯利,['艾伯利']
越久,['越久']
鱼虾,"['fish and shrimp', 'fish and prawn']"
查韦斯,['Chavez']
访问期间,['during the visit']
阅兵式,"['military parade', 'military review']"
礼遇,['courteous reception']
加亮,"['lighten', 'highlight']"
黑衣人,['Men in Black']
夜入,['夜入']
曹宅,['曹宅']
盗走,['盗走']
曹父,['曹父']
价格水平,['price level']
动态性,"['dynamics', 'dynamic nature']"
史特劳斯,['史特劳斯']
卡恩,"['Kahn', 'Calne']"
密肋,['dense ribs']
力偶,"['couple', 'couples']"
仍因,['仍因']
近几个月,['in recent years']
曲轴箱,"['crankcase', 'crank case']"
食品店,['food store']
举世闻名,"['be known to all the world', 'of world renown', 'be world-famous']"
身强体壮,['身强体壮']
詹妮尔称,['詹妮尔称']
世界市场,['world market']
大幸,['大幸']
拓本,['a book of rubbings']
门会,['门会']
眷恋着,['眷恋着']
那道,['那道']
火球,['fireball']
澎湖,['Peng-hu']
石沪,['石沪']
数百口,['数百口']
双心石,['双心石']
两颗心,['两颗心']
凭添,['凭添']
几许,"['how much', 'how many']"
七美,['七美']
张穗生,['张穗生']
颐舍,['颐舍']
比例阀,"['proportional valve', 'proportioning valve']"
液压缸,['hydraulic cylinder']
阻尼器,"['damper', 'amortisseur', 'counterbuffer']"
大气压力,"['barometric pressure', 'atmospheric pressure']"
怀揣,"['carry', 'with']"
忸怩,"['coy', 'blushing', 'bashful']"
毫无准备,"['offhand', 'be taken short']"
跨进,"['enter', 'step into']"
宗族,"['clansman', 'patriarchal clan']"
诸城,['Zhucheng']
通宵达旦,"['all night long', 'all through the night']"
钢纤维,['steel fibre']
工商部门,['industry and commerce department']
通知书,"['notification', 'advice note']"
细细地,['细细地']
